_id,continente,región,país,capital,población,hospedaje_precio_bajo_usd,hospedaje_precio_promedio_usd,hospedaje_precio_alto_usd,comida_precio_bajo_usd,comida_precio_promedio_usd,comida_precio_alto_usd,transporte_precio_bajo_usd,transporte_precio_promedio_usd,transporte_precio_alto_usd,entretenimiento_precio_bajo_usd,entretenimiento_precio_promedio_usd,entretenimiento_precio_alto_usd,precio_big_mac_usd,tasa_de_envejecimiento,fecha_script
67e883b9519fbbe2d57d9a56,África,África Occidental,Nigeria,Abuja,206139589,28.0,41.0,53.0,15.0,22.0,28.0,15.0,22.0,28.0,19.0,28.0,36.0,4.98,23.79,2025-04-01
67e883b9519fbbe2d57d9a57,África,África Oriental,Uganda,Kampala,45741007,16.0,23.0,29.0,25.0,36.0,46.0,26.0,38.0,49.0,23.0,33.0,42.0,3.14,17.02,2025-04-01
67e883b9519fbbe2d57d9a58,África,África Austral,Sudáfrica,Pretoria,59308690,21.0,30.0,39.0,14.0,20.0,26.0,25.0,37.0,48.0,30.0,43.0,55.0,5.84,16.97,2025-04-01
67e883b9519fbbe2d57d9a59,África,África del Norte,Marruecos,Rabat,36910560,20.0,29.0,37.0,15.0,22.0,28.0,21.0,31.0,40.0,24.0,35.0,45.0,6.31,22.74,2025-04-01
67e883b9519fbbe2d57d9a5a,África,África Central,Camerún,Yaundé,26545863,9.0,13.0,16.0,12.0,18.0,23.0,26.0,38.0,49.0,30.0,43.0,55.0,4.2,5.93,2025-04-01
67e883b9519fbbe2d57d9a5b,África,África Oriental,Kenia,Nairobi,53771296,29.0,42.0,54.0,15.0,22.0,28.0,22.0,32.0,41.0,23.0,34.0,44.0,4.24,23.44,2025-04-01
67e883b9519fbbe2d57d9a5c,África,África del Norte,Egipto,El Cairo,102334404,26.0,38.0,49.0,7.0,10.0,13.0,29.0,42.0,54.0,23.0,33.0,42.0,2.94,11.5,2025-04-01
67e883b9519fbbe2d57d9a5d,África,África del Norte,Túnez,Túnez,11818619,18.0,26.0,33.0,25.0,37.0,48.0,11.0,17.0,22.0,18.0,26.0,33.0,5.54,15.4,2025-04-01
67e883b9519fbbe2d57d9a5e,África,África Austral,Zambia,Lusaka,18383955,13.0,19.0,24.0,9.0,14.0,18.0,24.0,35.0,45.0,31.0,45.0,58.0,1.76,6.95,2025-04-01
67e883b9519fbbe2d57d9a5f,África,África del Norte,Argelia,Argel,43851044,31.0,45.0,58.0,28.0,41.0,53.0,28.0,41.0,53.0,19.0,28.0,36.0,5.08,20.22,2025-04-01
67e883b9519fbbe2d57d9a60,África,África Central,Angola,Luanda,32866272,9.0,13.0,16.0,21.0,30.0,39.0,15.0,22.0,28.0,31.0,45.0,58.0,3.39,6.16,2025-04-01
67e883b9519fbbe2d57d9a61,África,África Occidental,Malí,Bamako,20250833,28.0,41.0,53.0,26.0,38.0,49.0,24.0,35.0,45.0,19.0,28.0,36.0,6.92,11.62,2025-04-01
67e883b9519fbbe2d57d9a62,África,África Occidental,Ghana,Accra,31072940,19.0,28.0,36.0,21.0,31.0,40.0,23.0,33.0,42.0,17.0,25.0,32.0,2.13,18.25,2025-04-01
67e883b9519fbbe2d57d9a63,África,África Occidental,Costa de Marfil,Yamusukro,26378274,20.0,29.0,37.0,21.0,30.0,39.0,7.0,10.0,13.0,21.0,31.0,40.0,3.99,5.63,2025-04-01
